iter	Passed	Remaining
1320	7009	46054
1321	7014	46043
1322	7018	46031
1323	7022	46019
1324	7027	46007
1325	7031	45994
1326	7035	45983
1327	7040	45973
1328	7044	45961
1329	7048	45950
1330	7053	45937
1331	7057	45927
1332	7062	45917
1333	7066	45905
1334	7070	45895
1335	7077	45894
1336	7081	45884
1337	7086	45874
1338	7090	45861
1339	7094	45850
1340	7099	45839
1341	7101	45818
1342	7105	45805
1343	7110	45793
1344	7114	45782
1345	7118	45770
1346	7123	45759
1347	7128	45751
1348	7130	45727
1349	7134	45714
1350	7139	45704
1351	7143	45694
1352	7147	45681
1353	7156	45700
1354	7163	45700
1355	7168	45698
1356	7177	45712
1357	7185	45726
1358	7190	45720
1359	7195	45714
1360	7200	45708
1361	7205	45700
1362	7211	45694
1363	7214	45677
1364	7218	45666
1365	7223	45654
1366	7227	45643
1367	7231	45633
1368	7236	45621
1369	7238	45599
1370	7243	45587
1371	7247	45575
1372	7251	45563
1373	7255	45553
1374	7260	45541
1375	7264	45532
1376	7269	45522
1377	7273	45510
1378	7278	45499
1379	7282	45489
1380	7286	45477
1381	7291	45466
1382	7295	45454
1383	7299	45444
1384	7304	45434
1385	7308	45424
1386	7313	45413
1387	7317	45403
1388	7321	45391
1389	7326	45381
1390	7330	45371
1391	7335	45360
1392	7339	45350
1393	7347	45360
1394	7353	45360
1395	7359	45359
1396	7367	45373
1397	7377	45393
1398	7382	45388
1399	7388	45384
1400	7391	45369
1401	7396	45360
1402	7398	45337
1403	7403	45326
1404	7407	45314
1405	7411	45303
1406	7416	45292
1407	7420	45281
1408	7424	45270
1409	7429	45260
1410	7433	45249
1411	7435	45226
1412	7440	45215
1413	7444	45205
1414	7449	45196
1415	7453	45186
1416	7458	45176
1417	7462	45166
1418	7467	45155
1419	7471	45145
1420	7476	45134
1421	7480	45124
1422	7484	45113
1423	7488	45102
1424	7493	45091
1425	7497	45081
1426	7502	45071
1427	7506	45062
1428	7511	45051
1429	7515	45039
1430	7519	45029
1431	7524	45019
1432	7528	45009
1433	7535	45010
1434	7542	45016
1435	7548	45017
1436	7557	45034
1437	7562	45030
1438	7567	45020
1439	7572	45014
1440	7576	45004
1441	7581	44993
1442	7585	44984
1443	7590	44974
1444	7594	44965
1445	7599	44955
1446	7603	44945
1447	7608	44935
1448	7612	44925
1449	7617	44914
1450	7621	44904
1451	7625	44893
1452	7629	44881
1453	7634	44870
1454	7638	44858
1455	7642	44848
1456	7647	44838
1457	7651	44829
1458	7656	44819
1459	7660	44808
1460	7664	44798
1461	7669	44788
1462	7673	44778
1463	7678	44767
1464	7682	44757
1465	7686	44746
1466	7689	44728
1467	7694	44718
1468	7698	44707
1469	7702	44697
1470	7707	44686
1471	7711	44676
1472	7715	44666
1473	7720	44658
1474	7726	44655
1475	7731	44650
1476	7737	44647
1477	7745	44658
1478	7759	44707
1479	7764	44698
1480	7768	44687
1481	7772	44676
1482	7777	44666
1483	7781	44655
1484	7786	44645
1485	7790	44635
1486	7794	44623
1487	7798	44612
1488	7803	44601
1489	7807	44590
1490	7811	44579
1491	7815	44569
1492	7818	44547
1493	7822	44537
1494	7827	44527
1495	7831	44518
1496	7835	44508
1497	7840	44499
1498	7844	44489
1499	7849	44479
1500	7853	44468
1501	7857	44457
1502	7862	44448
1503	7866	44438
1504	7871	44428
1505	7875	44418
1506	7879	44408
1507	7884	44397
1508	7888	44386
1509	7892	44376
1510	7897	44366
1511	7901	44357
1512	7911	44376
1513	7917	44375
1514	7923	44374
1515	7930	44384
1516	7940	44403
1517	7945	44394
1518	7949	44385
1519	7953	44374
1520	7958	44364
1521	7962	44356
1522	7967	44346
1523	7971	44337
1524	7976	44326
1525	7980	44317
1526	7985	44307
1527	7990	44301
1528	7994	44292
1529	7998	44281
1530	8003	44271
1531	8007	44261
1532	8012	44251
1533	8016	44241
1534	8020	44230
1535	8025	44221
1536	8029	44211
1537	8033	44201
1538	8038	44192
1539	8042	44182
1540	8047	44172
1541	8051	44163
1542	8055	44153
1543	8060	44142
1544	8064	44133
1545	8070	44131
1546	8075	44127
1547	8085	44144
1548	8092	44150
1549	8102	44172
1550	8111	44188
1551	8121	44209
1552	8130	44224
1553	8140	44246
1554	8152	44272
1555	8159	44277
1556	8167	44290
1557	8173	44285
1558	8182	44303
1559	8191	44318
1560	8199	44325
1561	8206	44329
1562	8211	44324
1563	8215	44315
1564	8220	44305
1565	8224	44294
1566	8228	44284
1567	8233	44274
1568	8237	44263
1569	8241	44254
1570	8246	44245
1571	8251	44236
1572	8255	44227
1573	8260	44217
1574	8264	44207
1575	8268	44197
1576	8272	44182
1577	8276	44171
1578	8278	44150
1579	8282	44141
1580	8287	44131
1581	8293	44131
1582	8299	44131
1583	8306	44132
1584	8315	44148
1585	8321	44149
1586	8326	44141
1587	8331	44132
1588	8335	44122
1589	8340	44113
1590	8344	44102
1591	8348	44092
1592	8352	44081
1593	8357	44070
1594	8361	44062
1595	8365	44051
1596	8369	44040
1597	8374	44031
1598	8378	44021
1599	8383	44012
1600	8387	44001
1601	8392	43992
1602	8396	43983
1603	8400	43972
1604	8405	43963
1605	8409	43954
1606	8413	43943
1607	8418	43934
1608	8422	43925
1609	8427	43915
1610	8431	43905
1611	8435	43896
1612	8440	43886
1613	8444	43876
1614	8449	43867
1615	8453	43856
1616	8457	43847
1617	8462	43838
1618	8466	43828
1619	8471	43819
1620	8475	43809
1621	8482	43813
1622	8488	43812
1623	8494	43809
1624	8500	43810
1625	8509	43824
1626	8515	43823
1627	8520	43816
1628	8525	43808
1629	8529	43799
1630	8533	43789
1631	8538	43780
1632	8542	43771
1633	8547	43762
1634	8551	43751
1635	8556	43742
1636	8560	43733
1637	8564	43723
1638	8567	43706
1639	8570	43686
1640	8574	43677
1641	8578	43666
1642	8581	43647
1643	8585	43638
1644	8589	43628
1645	8594	43618
1646	8598	43609
1647	8603	43600
1648	8607	43591
1649	8610	43574
1650	8615	43565
1651	8618	43552
1652	8623	43543
1653	8625	43523
1654	8629	43513
1655	8634	43504
1656	8638	43495
1657	8642	43485
1658	8647	43474
1659	8651	43466
1660	8656	43457
1661	8668	43488
1662	8675	43492
1663	8681	43491
1664	8687	43490
1665	8696	43504
1666	8699	43487
1667	8704	43480
1668	8706	43461
1669	8711	43450
1670	8715	43441
1671	8719	43431
1672	8724	43421
1673	8728	43412
1674	8732	43403
1675	8737	43393
1676	8741	43385
1677	8746	43376
1678	8748	43356
